"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Zapatero A.S.M.; Di Giusto Valle C.; León O.M.","Zapatero, Alberto San Martín (57972006500); Di Giusto Valle, Cristina (57226869023); León, Olga Mendoza (58567328600)","57972006500; 57226869023; 58567328600","Collaborative international online learning (COIL) in initial teacher training in social sciences didactic; [Aprendizaje colaborativo internacional en línea (COIL) en la formación inicial del profesorado en didáctica de las ciencias sociales]","2022","Revista de Educación a Distancia","22","70","521651","","","","0","10.6018/red.521651","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142285442&doi=10.6018%2fred.521651&partnerID=40&md5=790ed2f3d9791d993b4c804e18ea1d8a","Given the educational need to create training environments where skills in digital technology and social interaction are developed, this study analyzes the influence of Collaborative Online International Learning (COIL) on initial teacher training. The study focuses on the collective construction of knowledge about the teaching of social sciences. The sample corresponds to students of the Degrees of Primary Education of the National University of Trujillo (Peru) and the University of Burgos (Spain). The context of application is a didactic, synchronous and asynchronous collaborative project between both groups, entitled Retos que nos unen, and developed between the months of September and October 2021. A quantitative research method is applied, through a longitudinal design structured in phases, with measurement before and after treatment (pre-test and pos-test). The results inform that the greatest degree of knowledge acquisition occurs in the collaboration phase of intercultural groups, demonstrating the need to develop collaborative and critical cultures mediated by technology to reverse traditional curricular approaches. © 2022 Universidad de Murcia. All rights reserved.","collaborative learning; initial teacher training; online learning; TIC","","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85142285442"
"Lledó G.L.; Lorenzo-Lledó A.; Carreres A.L.; Pérez-Vázquez E.","Lledó, Gonzalo Lorenzo (55500384200); Lorenzo-Lledó, Alejandro (57202729905); Carreres, Asunción Lledó (55500429900); Pérez-Vázquez, Elena (57209198803)","55500384200; 57202729905; 55500429900; 57209198803","Creation of an immersive virtual reality environment for communication and social interaction: a pilot study in students with autism spectrum disorders; [Creación de un entorno de realidad virtual inmersiva para la comunicación e interacción social: estudio piloto en alumnado con trastorno del espectro autista]","2023","Revista de Educación a Distancia","23","73","","","","","1","10.6018/RED.539141","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85152542653&doi=10.6018%2fRED.539141&partnerID=40&md5=56e9779948ac86d33a7aa4362d5d6c57","Today, technology plays an essential role in different social spheres. In the educational world, virtual reality can contribute to respond to the diversity of students present in the classroom. In this line, the aim of this study is to explore the application of immersive virtual reality to promote communication and social interaction in students with ASD. For this purpose, an immersive virtual reality (IVR) classroom environment was designed, in which different learning situations were presented to the users. The sample consisted of three participants, with whom a pilot study was developed with communication and social interaction activities with the virtual teacher and the virtual NAO robot. The IVR glasses were used for data collection and a questionnaire was designed ad hoc and completed by an observer. The results show that the students' attention was attracted to the elements that make up the IVR environment. Likewise, a good acceptance of the IVR device and satisfactory interactions have been observed. In conclusion, it can be stated that the IVR environment has provided realism and remarkable possibilities for interaction. © 2023 Universidad de Murcia. All rights reserved.","acceptance; attention; autism spectrum disorder; communication and social interaction; immersive virtual reality","","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85152542653"
"Mateo-Girona M.T.; Wahleithner J.M.","Mateo-Girona, M. Teresa (56845639100); Wahleithner, Juliet Michelsen (55547406600)","56845639100; 55547406600","Multimodal argumentation in teacher education courses to connect theory with practice; [La argumentación multimodal en los cursos de formación docente para conectar la teoría con la práctica]","2023","Revista de Educación a Distancia","23","75","7","","","","0","10.6018/red.545231","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85158864674&doi=10.6018%2fred.545231&partnerID=40&md5=065b8d1d0f96b7fb962e86f180677f41","We start from the current need to critically review the teaching of argumentation in teacher education programs. The methodology adopted is qualitative, with an initial content analysis of the treatment of multimodal argumentation in a selection of U.S. teacher training programs. The models are analyzed using the IARCO model and a transmodalizing proposal of genre is made, consisting of the transformation of argumentative reflection in text commentary. Secondly, a case study report is made based on the contrastive analysis of four texts produced by students of the selected programs. The results show improved indicators of complex thinking; in particular, the crossing of the multimodality variant with that of creative thinking is relevant. The article discusses how the proposal makes it possible to relate theory with practice prior to practicing the teaching profession, and it is concluded that including multimodal argumentation in teacher training may be one more way to solve the disconnection between theory and practice in programs with courses taught without classroom intervention. © 2023 Universidad de Murcia. All rights reserved.","comprehension; creativity; multimodal argumentation; teacher training; theoretical and practical application","","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85158864674"
"Hidalgo-Cajo B.G.; Gisbert-Cervera M.","Hidalgo-Cajo, Byron Geovanny (57195139293); Gisbert-Cervera, Mercé (36843936800)","57195139293; 36843936800","The adoption and use of digital technologies in university faculty: An analysis from the perspective of gender and age; [La adopción y el uso de las tecnologías digitales en el profesorado universitario: Un análisis desde la perspectiva del género y la edad]","2021","Revista de Educación a Distancia","21","67","11","","","","4","10.6018/RED.481161","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118675493&doi=10.6018%2fRED.481161&partnerID=40&md5=28d042735f1d09d3a506d205b3bee5c7","The success of the educational process mediated by technology depends, to a large extent, on the adoption and use of digital technology (TD) by teachers. With this perspective in mind, this article presents a multivariate diagnosis of the level of adoption and use of TD, focusing on the variables of gender and age. The study was carried out with a sample of 280 university teachers who responded to a questionnaire called TAUT made up of 46 Likert scale type items distributed in five dimensions: Ownership and use, Interest, Importance, Perception and attitude towards TD. The methodology applied in the study is quantitative based on the non-experimental, descriptive, correlational method, the data were analyzed from the comparison of means, using non-parametric tests. The results reveal a positive self-assessment in the adoption and use of TD by the teaching staff. Regarding the variables analyzed, there were no significant differences according to gender or age. Neither do these variables influence the level of adoption and use of TD in the teaching-learning process (E-A). © 2021 Universidad de Murcia. All rights reserved.","Adoption and use; Age; Digital technologies; Gender; Higher education","","Article","Final","","Scopus","2-s2.0-85118675493"
"Dousay T.A.","Dousay, Tonia A. (56716457300)","56716457300","Judgment day: Activating computational thinking activities with popular culture","2021","Revista de Educación a Distancia","21","68","485621","","","","0","10.6018/red.485621","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123299477&doi=10.6018%2fred.485621&partnerID=40&md5=3df04092b72e41220db50c86224103aa","Interest as a learning construct provides more than inspiration for innovation. Dewey recognized the role of interest as a powerful tool to engage learners. Yet, despite contemporary efforts to study the phenomenon, few learning designs recognize this potential. The current paper presents a conceptual framework for integrating popular culture into STEM, using computational thinking competencies as both a critical mechanism and context for application and testing. Interest contributes to motivation through self-regulation, and self-regulation has the power to enhance the cycle of learning achievement and interest. Through this framework, Merrill's Activation Principle provides guidance on why and how we should attend to this cycle. By evoking positive memories related to learner interests, we can enhance other stages of learning disconnected from the initial learning experience. STEM educators and scholars can use this framework and confidently design and evaluate learning activities targeting computational thinking development using popular media and culture. © 2021 Universidad de Murcia. All rights reserved.","Activation principle; Computational thinking; Learning design; Situational interest; STEM learning","","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85123299477"
"Yarin Achachagua Y.H.; Gamarra Chinchay H.E.","Yarin Achachagua, Yasser Hipolito (57972423700); Gamarra Chinchay, Hugo Eliseo (57392137100)","57972423700; 57392137100","Virtual reality and its effect on spatial ability: a case study focused on the teaching of descriptive geometry; [La realidad virtual y su efecto en la habilidad espacial: un caso de estudio enfocado en la enseñanza de la geometría descriptiva]","2023","Revista de Educación a Distancia","23","73","9","","","","0","10.6018/RED.540091","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85152514534&doi=10.6018%2fRED.540091&partnerID=40&md5=33d6b7f5c0124e3b49cd9fa46bbf1b82","This study describes a case study on the use of Virtual Reality (VR) in the teaching of Descriptive Geometry (DG) for engineering students. The objective was to develop a VR learning experience that improves Spatial Ability (SA) using a non-immersive 3D environment that facilitates the two-dimensional representation of the intersection of solids. This quasi-experimental work used a group defined as an experimental group that participated in a workshop on the intersection of polyhedrons and the intersection of surfaces of revolution using VR as a means to interact with the intercepted solids, while a second group, the control group, developed the same topics with two-dimensional images of the intercepted solids. The evaluation instrument measured the dimensions of mental rotation and mental folding, this was applied to both groups at the beginning and at the end of the workshop, managing to measure their SA for the rigid and non-rigid transformation of objects. Statistical analysis allowed us to identify a significant difference in favor of the experimental group, concluding that the workshop developed based on the use of VR had a positive effect on the SA of the students who participated in the study. © 2023 Universidad de Murcia. All rights reserved.","descriptive geometry; spatial capacity; virtual reality","","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85152514534"
"Berenguer M.P.; Vicente M.Á.G.; Martínez A.C.","Berenguer, Marcial Pamies (57218894698); Vicente, María Ángeles Gomariz (57223032568); Martínez, Antonia Cascales (56239671800)","57218894698; 57223032568; 56239671800","Conditioning factors for the transfer of permanent training for non-university teachers.; [Factores condicionantes de la transferencia de la formación permanente del profesorado no universitario.]","2022","Revista de Educación a Distancia","22","69","","","","","7","10.6018/RED.486801","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142275254&doi=10.6018%2fRED.486801&partnerID=40&md5=843569e713145403a137f566e7018b81","Teachers' professional development plans constitute the main mechanism of action to improve the services offered by educational organizations and the performance of the functions of teachers. The study of the transfer of learning developed in permanent training activities to the job constitutes a problem of great interest as it is a necessary element to be able to analyze the performance of training activities. This research explores the factorial structure that determines the transfer of permanent training for non-university teachers, analyzes the analogies and differences with other models and proposes a measurement instrument adapted to non-university teaching. The methodology used follows a non-experimental, quantitative design based on a cross-sectional survey-type design. The sample is made up of 4,769 non-university teachers from the Region of Murcia, obtained through a non-probabilistic convenience sampling. The analysis followed a quantitative-correlational approach using statistical factor analysis techniques and the study of internal consistency. The research has made it possible to propose a factorial model and a measurement instrument, validated in content and construct, for transfer factors in non-university education. © 2022 Universidad de Murcia. All rights reserved.","Factor Analysis; Lifelong Learning; Professional Training; Teachers; Transfer of Training","","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85142275254"
"Paredes-Labra J.; Freitas-Cortina A.; Sánchez-Antolín P.","Paredes-Labra, Joaquín (36675573800); Freitas-Cortina, Ada (57216862247); Sánchez-Antolín, Pablo (57194594268)","36675573800; 57216862247; 57194594268","From the initiation to tolerated use of technologies. The digital competence of Madrid students before high school; [De la iniciación al manejo tolerado de tecnologías. La competencia digital de los estudiantes Madrileños antes de la educación secundaria]","2019","Revista de Educación a Distancia","19","61","03","","","","9","10.6018/RED/61/03","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084972056&doi=10.6018%2fRED%2f61%2f03&partnerID=40&md5=74885129cce54f1c21f79ebb5d49dcb8","This paper analyzes the results of the digital competence of students from Madrid (Spain) of the last course of primary school (about 11 years old) through immersion technology programs in education such the one laptop per child (1x1) initiative. The students were 206 of the last course of primary education, over a total of about two thousand of the entire national territory. They come from public schools that have introduced technological devices for the development of their classes. The students answered a national test organized for this purpose, divided into five sections that correspond to the dimensions of the conceptualization of digital competence. Among the results, there is a low level of mastery of digital competence in all five dimensions, especially a few aspects of information search, content creation and problem-solving through devices. These results raise the difficulties of these students to face the tolerated use of technological devices in their daily lives for the next educational stage in secondary school or high school. © 2019 Universidad de Murcia. All rights reserved.","Digital Competence; Environments 1x1; Primary School","","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85084972056"
"Del Cerro Velázquez F.; Cano F.J.R.","Del Cerro Velázquez, Francisco (25627275900); Cano, Francisco Javier Ramón (57213905768)","25627275900; 57213905768","Vocational training: Professional requirements and labour occupations of the NCO-11; [Formación profesional: Requerimientos profesionales y ocupaciones laborales de la CNO-11]","2018","Revista de Educación a Distancia","","58","9","","","","1","10.6018/red/58/9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061131699&doi=10.6018%2fred%2f58%2f9&partnerID=40&md5=bb539cef3dc5427136bc65c6d984f176","It is of special interest the possibilities offered by the analysis of employment occupation when linking is achieved said variable with the titles of vocational training and certificates of professionalism and, in turn, with professional requirements, for the strategy on professional guidance referred to the issue of realistically assessing the agreement between individual skills and interests and the objective requirements of the desired professions. In this work is combined the study of the following information factors: Professional Valoration Guide of the National Social Security Institute (3rd edition, 2014), National Classification of Occupations 2011 (NCO-11), National Catalog of Professional Qualifications (NCPQ) and the curricula of Vocational training and Certificates of professionalism published up to July of 2016. The results obtained are a broad relationship of the binomial professional training-occupation according to the CNO-11. The proposed design is not only interesting at the statistical level, but also allows identifying, among others, psychophysical conditions linked to safety or health situations of vocational training titles aimed at performing the most frequent occupations related to these studies. © Universidad de Murcia 2018. All Rights Reserved.","Labour occupation; NCO-11; Professional qualification; Vocational guidance; Vocational training","","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85061131699"
"Aguirre B.O.-A.; Correa Gorospe J.M.; Barragán A.G.-C.","Aguirre, Begoña Ochoa-Aizpurua (57216866062); Correa Gorospe, José Miguel (35368243700); Barragán, Aingeru Gutiérrez-Cabello (57216207293)","57216866062; 35368243700; 57216207293","ICT in the attention to educational diversity: The case of the Basque Autonomous Community; [Las TIC en la atención a la diversidad educativa: el caso de la Comunidad Autónoma Vasca]","2019","Revista de Educación a Distancia","19","61","07","","","","7","10.6018/RED/61/07","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084981767&doi=10.6018%2fRED%2f61%2f07&partnerID=40&md5=11dbae31d1fade6c8643851bce4a9921","The purpose of this article is to approach to the educational policies that support the proposal of the Ministry of Education of the Basque Government to promote the development of an inclusive school. Our focus is on the path of these policies over the past ten years and on investigating text analysis, where there is a lack of connection with the most of these initiatives and case studies, in relation to the possibilities and limitations of ICTs in the attention to diversity. For this, we will analyze the plans and programs for the attention to the diversity of the Ministry of Education of the Basque Government identifying the role that is designated to Information and Communication Technologies in them; and we will analyze two case studies in the Basque Country, where ICTs have been proved valuable, in working with vulnerable and disadvantaged groups. © 2019 Universidad de Murcia. All rights reserved.","Child Care; Educational Policies; ICT; Inclusion; Social Justice","","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85084981767"
"Martín Alonso Á.S.; Chacón J.P.","Martín Alonso, Ángel San (57205692508); Chacón, José Peirats (56469011200)","57205692508; 56469011200","Controversies in the transition from paper and electronic textbooks to digital content; [Controversias en la transición del libro de texto en papel y electrónico a los contenidos digitales]","2018","Revista de Educación a Distancia","","56","5","","","","8","10.6018/red/56/5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061159669&doi=10.6018%2fred%2f56%2f5&partnerID=40&md5=6e0b09dba935e50c2d229c065e721d9b","It is suggested that, given the economic and cultural scale that the book represents in our society, the layout of the paper and digital version will live together for a long time. Therefore, textbooks will suffer a very similar fate. The current change is focused on the transformation of textbooks in digital content with different formats and access routes. Through this process, we are studying the disputes that these changes cause, whereas they reflex the level of assimilation of the technological innovations on the part of citizens. By means of ethnographic strategies, we try to understand inductively how different educational agents are accepting such innovations. The centres that we have studied belong to various autonomous communities and data has been analysed for the last two years of primary school. In light of new media, we observe that parents have taken disparate positions among them: for the costs or parents who acknowledge that they have not as many skills as children. However, almost everyone agrees that it is necessary to educate in the use of these technologies because they will need it into adulthood. © 2018 Revista de Educacion a Distancia. All Rights Reserved.","Curricular materials; Didactic model; Digital book; Textbook","","Review","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85061159669"
"Pacheco-Cortés A.M.; Alatorre-Rojo E.P.","Pacheco-Cortés, Adriana Margarita (57205687829); Alatorre-Rojo, Elba Patricia (57205692089)","57205687829; 57205692089","Metacognition in teacher professionalization: Critical thinking in a mixed environment; [La metacognición en la profesionalización docente: El pensamiento crítico en un entorno mixto]","2018","Revista de Educación a Distancia","","56","12","","","","3","10.6018/red/56/12","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85054954787&doi=10.6018%2fred%2f56%2f12&partnerID=40&md5=52c5bef9bfbac8e8965ac30691a96666","The present study is part of research over metacognition, particularly focused on features of critical thinking (Marzano and Pickering, 2005) by textual reflection after teacher-training. It is intended to respond the question: What characteristics of critical thinking are identified by writing reflection about learning achieved by attending a concrete in-service workshop, and its implementation in the instructional practice of the participants? Research design is descriptive, with a mixed approach. Method is content analysis. Frequency-concentrates of critical thinking features are presented. Outputs indicate that the prevalent feature was to be accurate, then to search for precision and, to a lesser extent, reacting to feelings appropriately and to the knowledge level from others. Limitations were sample size and several writing-skills levels in the participants. It is needed to train instructors on conscious improvement of thinking skills features, so they can perform and to be able to support their students' development. © 2018 Revista de Educacion a Distancia. All Rights Reserved.","Critical Thinking; Knowledge based society; Metacognition; Teacher Training","","Review","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85054954787"
"González M.T.V.","González, María Teresa Valverde (22941087900)","22941087900","Academic writing with information and communications technology in Higher Education; [Escritura académica con Tecnologías de la Información y la Comunicación en Educación Superior]","2018","Revista de Educación a Distancia","","58","14","","","","4","10.6018/red/58/14","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061151986&doi=10.6018%2fred%2f58%2f14&partnerID=40&md5=6f25bbdac1c230c0ab68a9fe2714029b","This article presents a critical review of the literature on the relationship between linguistic-literary education and technology. The aim of the foresaid review is to elucidate the relevant research experiences on this subject, based on the demonstrated hypothesis in the conclusions that academic writing, due to its current complexity, must necessarily be worked with the strategic sustenance of the new technologies of the Knowledge Society. As proof, a methodology of Critical Discourse Analysis (CDA) is used for the investigation of diverse scientific researches focused on the study of different digital production tools of academic texts which are useful for the access to and communication about scientific knowledge. To sum up, this theoretical analysis provides lecturers and university students with up-to-date knowledge of those digital media that have been proven to be effective from an epistemic and didactic point of view to contribute to the development of the academic writing competence in Higher Education. © Universidad de Murcia 2018. All Rights Reserved.","Academic writing; Communications technology (ICT); Higher education; Information","","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85061151986"
"Ferreira-Lopes L.; Bezanilla M.J.; Elexpuru I.","Ferreira-Lopes, Luana (57205687373); Bezanilla, María José (55999010000); Elexpuru, Iciar (57196149861)","57205687373; 55999010000; 57196149861","Integrating Intercultural Competence development into the curriculum through Telecollaboration. A task sequence proposal for Higher Education","2018","Revista de Educación a Distancia","","58","7","","","","9","10.6018/red/58/7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061134203&doi=10.6018%2fred%2f58%2f7&partnerID=40&md5=b74c8563c10e04a2d7da611873ab1a5c","Despite its demonstrated potential to enhance students' Intercultural Competence and other 21st century skills, telecollaboration still fails to be fully integrated into university courses. Literature shows that there is a need for developing sustainable instructional design models for this purpose. Hence, the main goal of this work is to propose a theory-informed task sequence to facilitate the integration of telecollaboration into university courses for the development of Intercultural Competence. Based on the typology of tasks from O'Dowd & Ware (2009) and enriched with contributions from other authors, the task sequence: (1) facilitates the development of Intercultural Competence according to EMIC model and adds a new block to its composition in order to approach the specificities of virtual teamwork, (2) contains detailed instructions for each task, (3) provides guidelines on implementation, on the selection of technology and on the integration of tasks to the syllabi and (4) offers an assessment plan, accompanied by a list of learning evidences that are expected to be manifested by students per task. This sequence can serve as a reference for further adaptations to diverse contexts. It is currently being piloted in two telecollaborative projects and the results are expected to contribute to future improvements. © Universidad de Murcia 2018. All Rights Reserved.","Assessment; Blended Learning; Higher Education; Intercultural Competence; Telecollaboration","","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85061134203"
"Coll C.; Engel A.","Coll, César (35621728100); Engel, Anna (55434468000)","35621728100; 55434468000","The distributed educational influence model","2018","Revista de Educación a Distancia","","58","A1","","","","0","10.6018/red/58/1E","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132048597&doi=10.6018%2fred%2f58%2f1E&partnerID=40&md5=7fad8e83f10a2f5b01b8752a4ca376c2","The concept of educational influence, developed within the framework of a series of studies analysing educational practices in face-to-face contexts, refers to the interpsychological processes through which teachers - or other educational practitioners present in the learning context - help students to construct progressively richer, more complex and more valid meanings regarding the contents of teaching and learning. If the educational influence exercised by the teacher or other practitioners is to be effective, it must be contingent and adapted to the learning process as it evolves. The concept of distributed educational influence reflects the idea that in collaborative learning settings the exercise of educational influence is distributed among all participants, since all can and should contribute through their actions to the achievement of effective collaboration that promotes the communicative, social and cognitive processes involved in learning. In this paper we present a theoretical and methodological model for analysing collaborative learning processes in digital environments based on the concepts of educational influence and distributed educational influence. We also describe the results of research aimed at refining some of the model's components and exploring some of its practical implications. © 2018 Universidad de Murcia. All rights reserved.","Collaborative learning in digital environments; Content analysis; Distributed educational influence; Educational influence; Structural analysis","","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85132048597"
"Honebein P.C.; Reigeluth C.M.","Honebein, Peter C. (12645486400); Reigeluth, Charles M. (55945856200)","12645486400; 55945856200","The instructional theory framework appears lost. Isn’t it time we find it again?; [El marco de la teoría de la instrucción parece perdido ¿No es hora de que lo encontremos de nuevo?]","2020","Revista de Educación a Distancia","20","64","1","","","","7","10.6018/RED.405871","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85095773937&doi=10.6018%2fRED.405871&partnerID=40&md5=5de2743b358b4ba6d4c7e6e73f127e28","Most researchers who design innovative digital learning experiences, and then conduct research that investigates the usefulness of those learning experiences, fail to fully apply the instructional theory framework (Reigeluth, 1983, 1999; Reigeluth & Carr-Chellman, 2009a) as the foundation of their designs and the focus of their research. This choice negatively impacts researchers’ design judgment (Boling, et al. 2017) and their credibility as the guarantor of design (Stolterman & Nelson, 2000). This ultimately leads to diffusion barriers when disseminating their digital learning innovations. The purpose of this paper is to help researchers and learning-experience designers overcome these diffusion barriers by embracing the instructional theory framework as the foundation for their designs and using six principles for conducting research aligned with the framework: (1) Know complex systems qualitatively, (2) Value the treatment design fundamentals, (3) Practice unbiased consideration of instructional methods, (4) Respect the instructional design iron triangle, (5) Differentiate between methods and media, and (6) Know your personal instructional design theory. © 2020 Universidad de Murcia. All rights reserved.","Complex Systems; Design Judgment; Design Research; Instructional Methods; Instructional Theory","","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85095773937"
"Caro Valverde M.T.","Caro Valverde, María Teresa (56206098000)","56206098000","Argumentative communication in the Knowledge Society, key to distributed leadership for educational change from professional development; [La comunicación argumentativa en la Sociedad del Conocimiento, clave del liderazgo distribuido para un cambio educativo desde el desarrollo profesional]","2018","Revista de Educación a Distancia","","56","8","","","","11","10.6018/red/56/8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061119855&doi=10.6018%2fred%2f56%2f8&partnerID=40&md5=3f5c642916ba0d489b3cb5e6f6425a18","This article explores the power of creative and democratic feedback that employs the epistemic dimension of communication by teachers within the framework of the Knowledge Society. The educational benefit of semiosis is studied by which human intelligence makes arguments to construct hypothetical knowledge of action research and the assistance that artificial intelligence reports to its cognitive scaffolding with its computational technologies. This is consistent with the necessary consideration of teachers as apprentices of their own work through professional development projects in real contexts to promote social improvement from the empowerment of the educational community through a vision of distributed leadership. In this regard, in accordance with the recommendations of solidarity of UNESCO, we also study the illuminating theories of Peirce and Dewey on the hypothetical logic from which the inventions of thought emerge from meaningful testimony and open discursivity to the freedom of life. The communicative use of heuristic argumentation in authentic learning situations where shared research takes place reveals the dynamic and experimental condition of educational knowledge and, with community ethics, dialogically prevents the impostures of efficiencyist neobehaviorism. © 2018 Revista de Educacion a Distancia. All Rights Reserved.","Argumentation; Communication; Distributed leadership; Knowledge society; Professional development","","Review","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85061119855"
"Etemi B.P.; Uzunboylu H.; Hamiti M.","Etemi, Blerta Prevalla (35812507600); Uzunboylu, Huseyin (14030910200); Hamiti, Mentor (35179504100)","35812507600; 14030910200; 35179504100","Content analysis of research papers on flipped learning; [Análisis de contenido de trabajos de investigación sobre aprendizaje invertido]","2021","Revista de Educación a Distancia","21","66","8","","","","7","10.6018/RED.451551","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85106967695&doi=10.6018%2fRED.451551&partnerID=40&md5=f281f75f2a02930d11b30c98d88f2323","The purpose of this study is to describe the current state of research publication and trends in flipped learning, found on 'Web of Science' during the period 2014-2018. There are 262 papers investigated, published and indexed on 'Web of Science' with the keyword: “flipped learning” and “flipped classroom”. The results of the study are analysed according to the journal of publication by these criteria: author, countries, funding agencies, document types, languages, organisation, publication years and source title. Flipped learning changes the traditional lecturing by flipping the classroom in the sense of listening to the video lectures at home and doing dynamic, group-based activities in the classroom. This engages the students in active learning, critical thinking, and meliorates interpersonal skills.It is recommended to authors to explore the possibility of utilising this method, experimenting and publish the findings which allows to create best practices and a unified framework for leading instructors who want to adopt this teaching methodology. © 2021 Universidad de Murcia. All rights reserved.","Content analysis; Flipped classroom; Flipped learning","","Review","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85106967695"
"González-Segura C.M.; García-García M.; Menéndez-Domínguez V.H.","González-Segura, Cinhtia Maribel (14060209500); García-García, Michel (57205688422); Menéndez-Domínguez, Victor Hugo (25654192200)","14060209500; 57205688422; 25654192200","Analysis of the Assessment of skills and their application into a Learning Management System. A case study; [Análisis de la evaluación de competencias y su aplicación en un Sistema de Gestión del Aprendizaje. Un caso de studio]","2018","Revista de Educación a Distancia","","58","3","","","","5","10.6018/red/58/3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061122854&doi=10.6018%2fred%2f58%2f3&partnerID=40&md5=1eae413ed054098509b3183e694f8f50","Internationally, the competence-based approach has been adopted at all levels of education seeking to improve the quality of education. However, there are still gaps in the process, especially in evaluation, since the methodological change necessary to implement it properly has not been achieved. The goal of this paper is to find out how the competency evaluation in a university is carried out, starting from the notion of competence and the tools of a Learning Management System that have been successfully used to carry out this process. Subsequently, we describe the preliminary results of a diagnosis applied to teachers of the Autonomous University of Yucatan. The results corroborate that there are few tools that are used more frequently and that there is a general lack of knowledge about the potential benefits that these have for the evaluation of generic competences. Finally, some solutions are proposed for assist to the university teacher during the performance of his / her evaluation function under the competencies approach. © Universidad de Murcia 2018. All Rights Reserved.","Competences Assessment; Competency-Based Education Model; Higher Education; Learning Management System","","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85061122854"
"Lévy P.; Zapata-Ros M.","Lévy, Pierre (7202556522); Zapata-Ros, Miguel (36477878800)","7202556522; 36477878800","Special issue “Social Web and intelligent learning management systems in Higher Education”","2018","Revista de Educación a Distancia","","57","02","","","","0","10.6018/red/57/02","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061112662&doi=10.6018%2fred%2f57%2f02&partnerID=40&md5=8ca74a981198e277f17b47cf534e5b22","[No abstract available]","","","Editorial","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85061112662"
